Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time
4th,C,C,01APR20,C,C,C,15MAR19,C,2021-11-01
Certain Religious Workers,C,C,01APR20,C,C,C,15MAR19,C,2021-11-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22NOV15,C,C,C,2021-11-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2021-11-01
1st,C,C,C,C,C,C,C,C,2021-12-01
2nd,C,01MAY12,C,C,01JAN19,C,C,C,2021-12-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2021-12-01
Other Workers,C,15JAN12,C,C,01MAR12,C,C,C,2021-12-01
4th,C,C,01APR20,C,C,C,15MAR19,C,2021-12-01
Certain Religious Workers,C,C,01APR20,C,C,C,15MAR19,C,2021-12-01
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,2021-12-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2021-12-01
1st,C,C,C,C,C,C,C,C,2022-01-01
2nd,C,08JUL12,C,C,22JAN19,C,C,C,2022-01-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-01-01
Other Workers,C,15JAN12,C,C,01MAR12,C,C,C,2022-01-01
4th,C,C,01APR20,C,C,C,15MAR19,C,2022-01-01
Certain Religious Workers,C,C,01APR20,C,C,C,15MAR19,C,2022-01-01
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,2022-01-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2022-01-01
1st,C,C,C,C,C,C,C,C,2022-02-01
2nd,C,01JAN13,C,C,01MAR19,C,C,C,2022-02-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-02-01
Other Workers,C,15JAN12,C,C,01APR12,C,C,C,2022-02-01
4th,C,C,01APR20,C,C,C,15MAR19,C,2022-02-01
Certain Religious Workers,C,C,01APR20,C,C,C,15MAR19,C,2022-02-01
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,2022-02-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2022-02-01
1st,C,C,C,C,C,C,C,C,2022-03-01
2nd,C,01MAY13,C,C,01MAR19,C,C,C,2022-03-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-03-01
Other Workers,C,15JAN12,C,C,01MAY12,C,C,C,2022-03-01
4th,C,C,01APR20,C,C,C,01MAY17,C,2022-03-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2022-03-01
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,2022-03-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2022-03-01
1st,C,C,C,C,C,C,C,C,2022-04-01
2nd,C,08JUL13,C,C,01MAR19,C,C,C,2022-04-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-04-01
Other Workers,C,15JAN12,C,C,01JUN12,C,C,C,2022-04-01
4th,C,C,01APR20,C,C,C,01MAY17,C,2022-04-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2022-04-01
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,2022-04-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2022-04-01
1st,C,C,C,C,C,C,C,C,2022-05-01
2nd,C,01SEP13,C,C,01MAR19,C,C,C,2022-05-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-05-01
Other Workers,C,15JAN12,C,C,01JUN12,C,C,C,2022-05-01
4th,C,C,01APR20,C,C,C,01MAY17,C,2022-05-01
Certain Religious Workers,C,C,01APR20,C,C,C,01MAY17,C,2022-05-01
"5th Unreserved (C5, T5, and all others)",C,C,C,C,C,C,C,C,2022-05-01
5th Unreserved (I5 and R5),C,C,C,C,22NOV15,C,C,C,2022-05-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-05-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-05-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-05-01
1st,C,C,C,C,C,C,C,C,2022-06-01
2nd,C,01SEP14,C,C,01MAR19,C,C,C,2022-06-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-06-01
Other Workers,08MAY19,15JAN12,08MAY19,08MAY19,01JUN12,C,08MAY19,C,2022-06-01
4th,C,C,01APR20,C,C,C,01MAY17,C,2022-06-01
Certain Religious Workers,C,C,01APR20,C,C,C,01MAY17,C,2022-06-01
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,22NOV15,C,C,C,2022-06-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-06-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-06-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-06-01
1st,C,C,C,C,C,C,C,C,2022-07-01
2nd,C,01DEC14,C,C,01APR19,C,C,C,2022-07-01
3rd,C,15JAN12,C,C,22MAR18,C,C,C,2022-07-01
Other Workers,08MAY19,15JAN12,08MAY19,08MAY19,01JUN12,C,08MAY19,C,2022-07-01
4th,C,C,01APR20,C,C,C,08NOV17,C,2022-07-01
Certain Religious Workers,C,C,01APR20,C,C,C,08NOV17,C,2022-07-01
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,22NOV15,C,C,C,2022-07-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-07-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-07-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-07-01
1st,C,C,C,C,C,C,C,C,2022-08-01
2nd,C,01DEC14,C,C,01APR19,C,C,C,2022-08-01
3rd,C,15FEB12,C,C,22APR18,C,C,C,2022-08-01
Other Workers,08MAY19,15FEB12,08MAY19,08MAY19,01JUN12,C,08MAY19,C,2022-08-01
4th,C,C,01APR20,C,C,C,08NOV17,C,2022-08-01
Certain Religious Workers,C,C,01APR20,C,C,C,08NOV17,C,2022-08-01
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,22NOV15,C,C,C,2022-08-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-08-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-08-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-08-01
1st,C,C,C,C,C,C,C,C,2022-09-01
2nd,C,01DEC14,C,C,01APR19,C,C,C,2022-09-01
3rd,C,15FEB12,C,C,22APR18,C,C,C,2022-09-01
Other Workers,08MAY19,15FEB12,08MAY19,08MAY19,01JUN12,C,08MAY19,C,2022-09-01
4th,C,C,01APR20,C,C,C,08NOV17,C,2022-09-01
Certain Religious Workers,C,C,01APR20,C,C,C,08NOV17,C,2022-09-01
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,22DEC15,C,C,C,2022-09-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-09-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-09-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-09-01
1st,C,C,C,C,C,C,C,C,2022-10-01
2nd,C,01APR12,C,C,08JUN19,C,C,C,2022-10-01
3rd,C,01APR12,C,C,15JUN18,C,C,C,2022-10-01
Other Workers,01JUN20,01APR12,01JUN20,01JUN20,01SEP12,C,01JUN20,C,2022-10-01
4th,C,C,15SEP20,C,C,C,15MAR18,C,2022-10-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2022-10-01
"5th Unreserved (including C5, T5, I5, R5)",C,08NOV19,C,C,22MAR15,C,C,C,2022-10-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-10-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-10-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-10-01
1st,C,C,C,C,C,C,C,C,2022-11-01
2nd,C,01APR12,C,C,08JUN19,C,C,C,2022-11-01
3rd,C,01APR12,C,C,15JUN18,C,C,C,2022-11-01
Other Workers,01JUN20,01APR12,01JUN20,01JUN20,01DEC12,C,01JUN20,C,2022-11-01
4th,C,C,15SEP20,C,C,C,15MAR18,C,2022-11-01
Certain Religious Workers,C,C,15SEP20,C,C,C,15MAR18,C,2022-11-01
"5th Unreserved (including C5, T5, I5, R5)",C,08NOV19,C,C,22MAR15,C,C,C,2022-11-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-11-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-11-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-11-01
1st,C,C,C,C,C,C,C,C,2022-12-01
2nd,01NOV22,08OCT11,01NOV22,01NOV22,08JUN19,C,01NOV22,C,2022-12-01
3rd,C,15JUN12,C,C,01AUG18,C,C,C,2022-12-01
Other Workers,01JUN20,15JUN12,01JUN20,01JUN20,22JUN13,C,01JUN20,C,2022-12-01
4th,22JUN22,22JUN22,15SEP20,22JUN22,22JUN22,C,15MAR18,C,2022-12-01
Certain Religious Workers,22JUN22,22JUN22,15SEP20,22JUN22,22JUN22,C,15MAR18,C,2022-12-01
"5th Unreserved (including C5, T5, I5, R5)",C,08NOV19,C,C,22MAR15,C,C,C,2022-12-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2022-12-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2022-12-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2022-12-01
1st,C,01FEB22,C,C,01FEB22,C,C,C,2023-01-01
2nd,01NOV22,08OCT11,01NOV22,01NOV22,08JUN19,C,01NOV22,C,2023-01-01
3rd,C,15JUN12,C,C,01AUG18,C,C,C,2023-01-01
Other Workers,01JUN20,15JUN12,01JUN20,01JUN20,22DEC13,C,01JUN20,C,2023-01-01
4th,22JUN22,22JUN22,15SEP20,22JUN22,22JUN22,C,15MAR18,C,2023-01-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2023-01-01
"5th Unreserved (including C5, T5, I5, R5)",C,08NOV19,C,C,22MAR15,C,C,C,2023-01-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2023-01-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2023-01-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2023-01-01
1st,C,01FEB22,C,C,01FEB22,C,C,C,2023-02-01
2nd,01NOV22,08OCT11,01NOV22,01NOV22,08JUN19,C,01NOV22,C,2023-02-01
3rd,C,15JUN12,C,C,01AUG18,C,C,C,2023-02-01
Other Workers,01JAN20,15JUN12,01JAN20,01JAN20,22DEC13,C,01JAN20,C,2023-02-01
4th,22JUN22,22JUN22,15SEP20,22JUN22,22JUN22,C,15MAR18,C,2023-02-01
Certain Religious Workers,22JUN22,22JUN22,15SEP20,22JUN22,22JUN22,C,15MAR18,C,2023-02-01
"5th Unreserved (including C5, T5, I5, R5)",C,08NOV19,C,C,22MAR15,C,C,C,2023-02-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2023-02-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2023-02-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2023-02-01
1st,C,01FEB22,C,C,01FEB22,C,C,C,2023-03-01
2nd,01NOV22,08OCT11,01NOV22,01NOV22,08JUN19,C,01NOV22,C,2023-03-01
3rd,C,15JUN12,C,C,01AUG18,C,C,C,2023-03-01
Other Workers,01JAN20,15JUN12,01JAN20,01JAN20,01JUL14,C,01JAN20,C,2023-03-01
4th,01FEB22,01MAR21,01AUG20,01FEB22,01FEB22,C,15MAR18,C,2023-03-01
Certain Religious Workers,01FEB22,01MAR21,01AUG20,01FEB22,01FEB22,C,15MAR18,C,2023-03-01
"5th Unreserved (including C5, T5, I5, R5)",C,01JUN18,C,C,08JUL15,C,C,C,2023-03-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2023-03-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2023-03-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2023-03-01
1st,C,01FEB22,C,C,01FEB22,C,C,C,2023-04-01
2nd,01JUL22,01JAN11,01JUL22,01JUL22,08JUN19,C,C,C,2023-04-01
3rd,C,15JUN12,C,C,01NOV18,C,C,C,2023-04-01
Other Workers,01JAN20,15JUN12,01JAN20,01JAN20,01OCT14,C,C,C,2023-04-01
4th,01SEP18,01SEP18,01SEP18,01SEP18,01SEP18,C,C,C,2023-04-01
Certain Religious Workers,01SEP18,01SEP18,01SEP18,01SEP18,01SEP18,C,C,C,2023-04-01
"5th Unreserved (including C5, T5, I5, R5)",C,01JUN18,C,C,08JUL15,C,C,C,2023-04-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2023-04-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2023-04-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2023-04-01
1st,C,01FEB22,C,C,01FEB22,C,C,C,2023-05-01
2nd,15FEB22,01JAN11,15FEB22,15FEB22,08JUN19,C,C,C,2023-05-01
3rd,01JUN22,15JUN12,01JUN22,01JUN22,01APR19,C,C,C,2023-05-01
Other Workers,01JAN20,15JUN12,01JAN20,01JAN20,15APR15,C,C,C,2023-05-01
4th,01SEP18,01SEP18,01SEP18,01SEP18,01SEP18,C,C,C,2023-05-01
Certain Religious Workers,01SEP18,01SEP18,01SEP18,01SEP18,01SEP18,C,C,C,2023-05-01
"5th Unreserved (including C5, T5, I5, R5)",C,01JUN18,C,C,08SEP15,C,C,C,2023-05-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2023-05-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2023-05-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2023-05-01
1st,C,01FEB22,C,C,01FEB22,C,C,C,2023-06-01
2nd,15FEB22,01JAN11,15FEB22,15FEB22,08JUN19,C,C,C,2023-06-01
3rd,01JUN22,15JUN12,01JUN22,01JUN22,01APR19,C,C,C,2023-06-01
Other Workers,01JAN20,15JUN12,01JAN20,01JAN20,01SEP15,C,C,C,2023-06-01
4th,01SEP18,01SEP18,01SEP18,01SEP18,01SEP18,C,C,C,2023-06-01
Certain Religious Workers,01SEP18,01SEP18,01SEP18,01SEP18,01SEP18,C,C,C,2023-06-01
"5th Unreserved (including C5, T5, I5, R5)",C,01APR17,C,C,08SEP15,C,C,C,2023-06-01
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2023-06-01
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2023-06-01
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2023-06-01
