Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
4th,C,C,7/1/16,C,C,C,7/1/16,C,7/1/19,4th
Certain Religious Workers,C,C,7/1/16,C,C,C,7/1/16,C,7/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,5/1/17,C,C,10/1/14,C,C,10/1/16,7/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,5/1/17,C,C,10/1/14,C,C,10/1/16,7/1/19,5th Targeted Employment Areas
1st,7/1/16,1/1/15,7/1/16,7/1/16,7/1/16,C,7/1/16,7/1/16,8/1/19,1st
2nd,1/1/17,5/2/09,1/1/17,1/1/17,1/1/17,C,1/1/17,1/1/17,8/1/19,2nd
3rd,7/1/16,1/1/06,7/1/16,7/1/16,7/1/16,C,7/1/16,7/1/16,8/1/19,3rd
Other Workers,7/1/16,1/1/06,7/1/16,7/1/16,11/22/07,C,7/1/16,7/1/16,8/1/19,Other Workers
4th,C,C,7/1/16,C,C,C,7/1/16,C,8/1/19,4th
Certain Religious Workers,C,C,7/1/16,C,C,C,7/1/16,C,8/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,10/15/14,C,C,10/15/14,C,C,10/15/14,8/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,10/15/14,C,C,10/15/14,C,C,10/15/14,8/1/19,5th Targeted Employment Areas
1st,10/1/17,U,10/1/17,10/1/17,1/1/14,C,10/1/17,10/1/17,9/1/19,1st
2nd,1/1/18,5/8/09,1/1/18,1/1/18,1/1/17,C,1/1/18,1/1/18,9/1/19,2nd
3rd,7/1/16,7/1/05,7/1/16,7/1/16,1/1/14,C,7/1/16,7/1/16,9/1/19,3rd
Other Workers,7/1/16,7/1/05,7/1/16,7/1/16,11/22/07,C,7/1/16,7/1/16,9/1/19,Other Workers
4th,U,U,U,U,U,C,U,U,9/1/19,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,9/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,9/1/17,C,C,10/22/14,C,C,10/22/14,9/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,9/1/17,C,C,10/22/14,C,C,10/22/14,9/1/19,5th Targeted Employment Areas
1st,4/22/18,1/1/15,4/22/18,4/22/18,11/1/16,C,4/22/18,4/22/18,10/1/19,1st
2nd,C,5/12/09,C,C,1/1/15,C,C,C,10/1/19,2nd
3rd,C,1/1/09,C,10/15/17,11/1/15,C,C,C,10/1/19,3rd
Other Workers,C,1/1/09,C,10/15/17,1/1/08,C,C,C,10/1/19,Other Workers
4th,C,C,5/1/17,C,C,C,7/1/16,C,10/1/19,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,10/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,11/22/17,C,C,10/22/14,C,C,10/15/16,10/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,10/1/19,5th Targeted Employment Areas
1st,6/1/18,1/1/15,6/1/18,6/1/18,2/1/17,C,6/1/18,6/1/18,11/1/19,1st
2nd,C,5/13/09,C,C,3/15/15,C,C,C,11/1/19,2nd
3rd,C,1/1/09,C,2/1/18,11/1/15,C,C,C,11/1/19,3rd
Other Workers,C,1/1/09,C,2/1/18,2/1/08,C,C,C,11/1/19,Other Workers
4th,C,C,7/22/17,C,C,C,7/1/16,C,11/1/19,4th
Certain Religious Workers,C,C,7/22/17,C,C,C,7/1/16,C,11/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,12/8/17,C,C,11/1/14,C,C,11/15/16,11/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),C,12/8/17,C,C,11/1/14,C,C,11/15/16,11/1/19,5th Targeted Employment Areas
1st,7/15/18,1/1/15,7/15/18,7/15/18,5/15/17,C,7/15/18,7/15/18,12/1/19,1st
2nd,C,5/15/09,C,C,6/22/15,C,C,C,12/1/19,2nd
3rd,C,1/1/09,C,3/1/18,11/1/15,C,C,C,12/1/19,3rd
Other Workers,C,1/1/09,C,3/1/18,3/1/08,C,C,C,12/1/19,Other Workers
4th,C,C,7/22/17,C,C,C,7/1/16,C,12/1/19,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,12/1/19,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,1/1/18,C,C,11/15/14,C,C,12/1/16,12/1/19,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,12/1/19,5th Targeted Employment Areas
1st,10/1/18,1/1/15,10/1/18,10/1/18,5/22/17,C,10/1/18,10/1/18,1/1/20,1st
2nd,C,5/18/09,C,C,7/1/15,C,C,C,1/1/20,2nd
3rd,C,1/1/09,C,3/15/18,12/1/15,C,C,C,1/1/20,3rd
Other Workers,C,1/1/09,C,3/15/18,4/1/08,C,C,C,1/1/20,Other Workers
4th,C,C,8/8/17,C,C,C,7/1/16,C,1/1/20,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,1/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,5/1/18,C,C,11/22/14,C,C,12/8/16,1/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,1/1/20,5th Targeted Employment Areas
1st,12/1/18,1/1/15,12/1/18,12/1/18,5/22/17,C,12/1/18,12/1/18,2/1/20,1st
2nd,C,5/19/09,C,C,7/15/15,C,C,C,2/1/20,2nd
3rd,C,1/8/09,C,6/1/18,1/1/16,C,C,C,2/1/20,3rd
Other Workers,C,1/8/09,C,6/1/18,5/1/08,C,C,C,2/1/20,Other Workers
4th,C,C,9/1/17,C,C,C,7/1/16,C,2/1/20,4th
Certain Religious Workers,C,C,9/1/17,C,C,C,7/1/16,C,2/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,9/1/18,C,C,12/1/14,C,C,12/15/16,2/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,9/1/18,C,C,12/1/14,C,C,12/15/16,2/1/20,5th Targeted Employment Areas
1st,3/1/19,3/1/15,3/1/19,3/1/19,6/1/17,C,3/1/19,3/1/19,3/1/20,1st
2nd,C,5/22/09,C,C,8/15/15,C,C,C,3/1/20,2nd
3rd,1/1/17,1/15/09,1/1/17,1/1/17,3/22/16,C,1/1/17,1/1/17,3/1/20,3rd
Other Workers,1/1/17,1/15/09,1/1/17,1/1/17,6/1/08,C,1/1/17,1/1/17,3/1/20,Other Workers
4th,C,C,11/15/17,C,C,C,7/15/16,C,3/1/20,4th
Certain Religious Workers,C,C,11/15/17,C,C,C,7/15/16,C,3/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,10/22/18,C,C,5/15/15,C,C,1/15/17,3/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,10/22/18,C,C,5/15/15,C,C,1/15/17,3/1/20,5th Targeted Employment Areas
1st,6/1/19,5/1/15,6/1/19,6/1/19,6/8/17,C,6/1/19,6/1/19,4/1/20,1st
2nd,C,5/25/09,C,C,9/1/15,C,C,C,4/1/20,2nd
3rd,1/1/17,1/22/09,1/1/17,1/1/17,4/15/16,C,1/1/17,1/1/17,4/1/20,3rd
Other Workers,1/1/17,1/22/09,1/1/17,1/1/17,7/1/08,C,1/1/17,1/1/17,4/1/20,Other Workers
4th,C,C,1/22/18,C,C,C,7/15/16,C,4/1/20,4th
Certain Religious Workers,C,C,1/22/18,C,C,C,7/15/16,C,4/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,1/1/19,C,C,5/15/15,C,C,2/8/17,4/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,1/1/19,C,C,5/15/15,C,C,2/8/17,4/1/20,5th Targeted Employment Areas
1st,C,8/1/15,C,C,7/15/17,C,C,C,5/1/20,1st
2nd,C,6/2/09,C,C,10/1/15,C,C,C,5/1/20,2nd
3rd,1/1/17,3/1/09,1/1/17,1/1/17,5/15/16,C,1/1/17,1/1/17,5/1/20,3rd
Other Workers,1/1/17,3/1/09,1/1/17,1/1/17,7/15/08,C,1/1/17,1/1/17,5/1/20,Other Workers
4th,C,C,5/1/18,C,C,C,8/15/16,C,5/1/20,4th
Certain Religious Workers,C,C,5/1/18,C,C,C,8/15/16,C,5/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,10/1/19,C,C,7/1/15,C,C,4/1/17,5/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,10/1/19,C,C,7/1/15,C,C,4/1/17,5/1/20,5th Targeted Employment Areas
1st,C,6/8/16,C,C,8/15/17,C,C,C,6/1/20,1st
2nd,C,6/12/09,C,C,11/1/15,C,C,C,6/1/20,2nd
3rd,11/8/17,4/1/09,11/8/17,11/8/17,6/15/16,C,11/8/17,11/8/17,6/1/20,3rd
Other Workers,11/8/17,4/1/09,11/8/17,11/8/17,7/15/08,C,11/8/17,11/8/17,6/1/20,Other Workers
4th,C,C,6/8/18,C,C,C,12/15/16,C,6/1/20,4th
Certain Religious Workers,C,C,6/8/18,C,C,C,12/15/16,C,6/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,1/1/20,C,C,7/15/15,C,C,4/22/17,6/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,1/1/20,C,C,7/15/15,C,C,4/22/17,6/1/20,5th Targeted Employment Areas
1st,C,5/8/17,C,C,8/22/17,C,C,C,7/1/20,1st
2nd,C,7/8/09,C,C,11/8/15,C,C,C,7/1/20,2nd
3rd,4/15/18,6/1/09,4/15/18,4/15/18,6/22/16,C,4/15/18,4/15/18,7/1/20,3rd
Other Workers,4/15/18,6/1/09,4/15/18,4/15/18,7/22/08,C,4/15/18,4/15/18,7/1/20,Other Workers
4th,C,C,6/15/18,C,C,C,2/1/17,C,7/1/20,4th
Certain Religious Workers,C,C,6/15/18,C,C,C,2/1/17,C,7/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,7/22/15,C,C,5/15/17,7/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,7/22/15,C,C,5/15/17,7/1/20,5th Targeted Employment Areas
1st,C,2/8/18,C,C,2/8/18,C,C,C,8/1/20,1st
2nd,C,7/8/09,C,C,1/15/16,C,C,C,8/1/20,2nd
3rd,4/1/19,10/1/09,4/1/19,4/1/19,2/15/17,C,4/1/19,4/1/19,8/1/20,3rd
Other Workers,4/1/19,10/1/09,4/1/19,4/1/19,8/1/08,C,4/1/19,4/1/19,8/1/20,Other Workers
4th,C,C,6/15/18,C,C,C,4/1/17,C,8/1/20,4th
Certain Religious Workers,C,C,6/15/18,C,C,C,4/1/17,C,8/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/8/15,C,C,7/22/17,8/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/8/15,C,C,7/22/17,8/1/20,5th Targeted Employment Areas
1st,C,3/1/18,C,C,3/1/18,C,C,C,9/1/20,1st
2nd,C,7/8/09,C,C,1/15/16,C,C,C,9/1/20,2nd
3rd,4/1/19,10/1/09,4/1/19,4/1/19,2/15/17,C,4/1/19,4/1/19,9/1/20,3rd
Other Workers,4/1/19,10/1/09,4/1/19,4/1/19,8/1/08,C,4/1/19,4/1/19,9/1/20,Other Workers
4th,C,C,6/15/18,C,C,C,4/1/17,C,9/1/20,4th
Certain Religious Workers,C,C,6/15/18,C,C,C,4/1/17,C,9/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,8/1/17,9/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,8/1/17,9/1/20,5th Targeted Employment Areas
1st,C,6/1/18,C,C,6/1/18,C,C,C,10/1/20,1st
2nd,C,9/1/09,C,C,3/1/16,C,C,C,10/1/20,2nd
3rd,C,1/15/10,C,C,7/1/17,C,C,C,10/1/20,3rd
Other Workers,C,1/15/10,C,C,12/1/08,C,C,C,10/1/20,Other Workers
4th,C,C,9/1/18,C,C,C,8/1/17,C,10/1/20,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,10/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,8/1/17,10/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,10/1/20,5th Targeted Employment Areas
1st,C,12/1/18,C,C,12/1/18,C,C,C,11/1/20,1st
2nd,C,9/22/09,C,C,4/22/16,C,C,C,11/1/20,2nd
3rd,C,3/1/10,C,C,10/1/17,C,C,C,11/1/20,3rd
Other Workers,C,3/1/10,C,C,1/1/09,C,C,C,11/1/20,Other Workers
4th,C,C,10/15/18,C,C,C,11/1/17,C,11/1/20,4th
Certain Religious Workers,C,C,10/15/18,C,C,C,11/1/17,C,11/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,8/15/17,11/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,8/15/17,11/1/20,5th Targeted Employment Areas
1st,C,4/1/19,C,C,4/1/19,C,C,C,12/1/20,1st
2nd,C,10/1/09,C,C,5/1/16,C,C,C,12/1/20,2nd
3rd,C,3/15/10,C,C,11/1/17,C,C,C,12/1/20,3rd
Other Workers,C,3/15/10,C,C,2/15/09,C,C,C,12/1/20,Other Workers
4th,C,C,11/22/18,C,C,C,2/1/18,C,12/1/20,4th
Certain Religious Workers,C,C,11/22/18,C,C,C,2/1/18,C,12/1/20,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,9/1/17,12/1/20,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,9/1/17,12/1/20,5th Targeted Employment Areas
1st,C,9/1/19,C,C,9/1/19,C,C,C,1/1/21,1st
2nd,C,10/8/09,C,C,6/1/16,C,C,C,1/1/21,2nd
3rd,C,3/22/10,C,C,12/15/17,C,C,C,1/1/21,3rd
Other Workers,C,3/22/10,C,C,3/1/09,C,C,C,1/1/21,Other Workers
4th,C,C,12/1/18,C,C,C,3/1/18,C,1/1/21,4th
Certain Religious Workers,U,U,U,U,U,C,U,U,1/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,9/15/17,1/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,1/1/21,5th Targeted Employment Areas
1st,C,1/1/20,C,C,1/1/20,C,C,C,2/1/21,1st
2nd,C,10/12/09,C,C,6/15/16,C,C,C,2/1/21,2nd
3rd,C,4/1/10,C,C,1/1/18,C,C,C,2/1/21,3rd
Other Workers,C,4/1/10,C,C,4/1/09,C,C,C,2/1/21,Other Workers
4th,C,C,12/15/18,C,C,C,4/15/18,C,2/1/21,4th
Certain Religious Workers,C,C,12/15/18,C,C,C,4/15/18,C,2/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,10/1/17,2/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,10/1/17,2/1/21,5th Targeted Employment Areas
1st,C,8/1/20,C,C,8/1/20,C,C,C,3/1/21,1st
2nd,C,1/15/10,C,C,7/15/16,C,C,C,3/1/21,2nd
3rd,C,7/1/10,C,C,2/8/18,C,C,C,3/1/21,3rd
Other Workers,C,7/1/10,C,C,5/1/09,C,C,C,3/1/21,Other Workers
4th,C,C,1/1/19,C,C,C,6/1/18,C,3/1/21,4th
Certain Religious Workers,C,C,1/1/19,C,C,C,6/1/18,C,3/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,10/22/17,3/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,10/22/17,3/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/21,1st
2nd,C,5/1/10,C,C,9/1/16,C,C,C,4/1/21,2nd
3rd,C,9/1/10,C,C,3/15/18,C,C,C,4/1/21,3rd
Other Workers,C,9/1/10,C,C,6/1/09,C,C,C,4/1/21,Other Workers
4th,C,C,2/1/19,C,C,C,8/1/18,C,4/1/21,4th
Certain Religious Workers,C,C,2/1/19,C,C,C,8/1/18,C,4/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,12/15/17,4/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,12/15/17,4/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/21,1st
2nd,C,8/1/10,C,C,12/1/16,C,C,C,5/1/21,2nd
3rd,C,2/1/11,C,C,5/15/18,C,C,C,5/1/21,3rd
Other Workers,C,2/1/11,C,C,8/1/09,C,C,C,5/1/21,Other Workers
4th,C,C,3/15/19,C,C,C,9/1/18,C,5/1/21,4th
Certain Religious Workers,C,C,3/15/19,C,C,C,9/1/18,C,5/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,8/15/15,C,C,2/15/18,5/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,8/15/15,C,C,2/15/18,5/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/21,1st
2nd,C,12/1/10,C,C,5/1/17,C,C,C,6/1/21,2nd
3rd,C,11/1/11,C,C,9/1/18,C,C,C,6/1/21,3rd
Other Workers,C,11/1/11,C,C,10/1/09,C,C,C,6/1/21,Other Workers
4th,C,C,11/1/19,C,C,C,11/1/18,C,6/1/21,4th
Certain Religious Workers,C,C,11/1/19,C,C,C,11/1/18,C,6/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/15/15,C,C,4/15/18,6/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,9/15/15,C,C,4/15/18,6/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/21,1st
2nd,C,6/1/11,C,C,12/1/17,C,C,C,7/1/21,2nd
3rd,C,1/1/13,C,C,1/1/19,C,C,C,7/1/21,3rd
Other Workers,C,1/1/13,C,C,12/1/09,C,C,C,7/1/21,Other Workers
4th,C,C,2/1/20,C,C,C,12/1/18,C,7/1/21,4th
Certain Religious Workers,C,C,2/1/20,C,C,C,12/1/18,C,7/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,11/8/15,C,C,4/1/20,7/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,7/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/21,1st
2nd,C,6/1/11,C,C,4/1/18,C,C,C,8/1/21,2nd
3rd,C,7/1/13,C,C,1/8/19,C,C,C,8/1/21,3rd
Other Workers,C,7/1/13,C,C,1/1/10,C,C,C,8/1/21,Other Workers
4th,C,C,2/1/20,C,C,C,1/1/19,C,8/1/21,4th
Certain Religious Workers,C,C,2/1/20,C,C,C,1/1/19,C,8/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,11/15/15,C,C,C,8/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,8/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/21,1st
2nd,C,9/1/11,C,C,7/1/18,C,C,C,9/1/21,2nd
3rd,C,1/1/14,C,C,1/8/19,C,C,C,9/1/21,3rd
Other Workers,C,1/1/14,C,C,2/1/10,C,C,C,9/1/21,Other Workers
4th,C,C,3/1/20,C,C,C,3/15/19,C,9/1/21,4th
Certain Religious Workers,C,C,3/1/20,C,C,C,3/15/19,C,9/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,11/22/15,C,C,C,9/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,U,9/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/21,1st
2nd,C,9/1/11,C,C,7/1/18,C,C,C,10/1/21,2nd
3rd,C,1/1/14,C,C,1/8/19,C,C,C,10/1/21,3rd
Other Workers,C,1/1/14,C,C,2/1/10,C,C,C,10/1/21,Other Workers
4th,C,C,3/1/20,C,C,C,3/15/19,C,10/1/21,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,10/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,11/22/15,C,C,C,10/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,10/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/21,1st
2nd,C,12/1/11,C,C,11/15/18,C,C,C,11/1/21,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,11/1/21,3rd
Other Workers,C,1/15/12,C,C,3/1/10,C,C,C,11/1/21,Other Workers
4th,C,C,4/1/20,C,C,C,3/15/19,C,11/1/21,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,3/15/19,C,11/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,11/22/15,C,C,C,11/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,11/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/21,1st
2nd,C,5/1/12,C,C,1/1/19,C,C,C,12/1/21,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,12/1/21,3rd
Other Workers,C,1/15/12,C,C,3/1/12,C,C,C,12/1/21,Other Workers
4th,C,C,4/1/20,C,C,C,3/15/19,C,12/1/21,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,3/15/19,C,12/1/21,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,12/1/21,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,12/1/21,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/22,1st
2nd,C,7/8/12,C,C,1/22/19,C,C,C,1/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,1/1/22,3rd
Other Workers,C,1/15/12,C,C,3/1/12,C,C,C,1/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,3/15/19,C,1/1/22,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,3/15/19,C,1/1/22,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,1/1/22,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,1/1/22,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/22,1st
2nd,C,1/1/13,C,C,3/1/19,C,C,C,2/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,2/1/22,3rd
Other Workers,C,1/15/12,C,C,4/1/12,C,C,C,2/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,3/15/19,C,2/1/22,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,3/15/19,C,2/1/22,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,2/1/22,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2/1/22,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/22,1st
2nd,C,5/1/13,C,C,3/1/19,C,C,C,3/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,3/1/22,3rd
Other Workers,C,1/15/12,C,C,5/1/12,C,C,C,3/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,5/1/17,C,3/1/22,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,3/1/22,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,3/1/22,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,3/1/22,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/22,1st
2nd,C,7/8/13,C,C,3/1/19,C,C,C,4/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,4/1/22,3rd
Other Workers,C,1/15/12,C,C,6/1/12,C,C,C,4/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,5/1/17,C,4/1/22,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,4/1/22,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,C,C,C,C,4/1/22,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,4/1/22,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/22,1st
2nd,C,9/1/13,C,C,3/1/19,C,C,C,5/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,5/1/22,3rd
Other Workers,C,1/15/12,C,C,6/1/12,C,C,C,5/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,5/1/17,C,5/1/22,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,5/1/17,C,5/1/22,Certain Religious Workers
"5th Unreserved (C5, T5, and all others)",C,C,C,C,C,C,C,C,5/1/22,5th Unreserved
5th Unreserved (I5 and R5),C,C,C,C,11/22/15,C,C,C,5/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,5/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,5/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,5/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,6/1/22,1st
2nd,C,9/1/14,C,C,3/1/19,C,C,C,6/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,6/1/22,3rd
Other Workers,5/8/19,1/15/12,5/8/19,5/8/19,6/1/12,C,5/8/19,C,6/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,5/1/17,C,6/1/22,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,5/1/17,C,6/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,11/22/15,C,C,C,6/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,6/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,6/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,6/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,7/1/22,1st
2nd,C,12/1/14,C,C,4/1/19,C,C,C,7/1/22,2nd
3rd,C,1/15/12,C,C,3/22/18,C,C,C,7/1/22,3rd
Other Workers,5/8/19,1/15/12,5/8/19,5/8/19,6/1/12,C,5/8/19,C,7/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,11/8/17,C,7/1/22,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,11/8/17,C,7/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,11/22/15,C,C,C,7/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,7/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,7/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,7/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,8/1/22,1st
2nd,C,12/1/14,C,C,4/1/19,C,C,C,8/1/22,2nd
3rd,C,2/15/12,C,C,4/22/18,C,C,C,8/1/22,3rd
Other Workers,5/8/19,2/15/12,5/8/19,5/8/19,6/1/12,C,5/8/19,C,8/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,11/8/17,C,8/1/22,4th
